Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
88,Casey Mize,28,DET,AL,1.4,8,2,.800,2.86,14,14,0,0,0,0,78.2,76,27,25,11,19,0,69,0,0,1,327,139,3.87,1.208,8.7,1.3,2.2,7.9,3.63,,mizeca01
89,Colin Rea,34,CHC,NL,-0.2,5,3,.625,4.37,17,13,3,0,0,1,78.1,88,39,38,14,19,0,56,3,0,2,332,87,4.82,1.366,10.1,1.6,2.2,6.4,2.95,,reaco01
90,Logan Allen*,26,CLE,AL,0.3,5,6,.455,4.27,16,15,0,0,0,0,78.0,82,41,37,9,34,0,60,2,0,3,343,97,4.43,1.487,9.5,1.0,3.9,6.9,1.76,,allenlo02
91,Quinn Priester,24,MIL,NL,1.2,6,2,.750,3.35,15,11,1,0,0,0,78.0,68,31,29,8,28,0,61,1,0,3,324,119,3.97,1.231,7.8,0.9,3.2,7.0,2.18,,priesqu01
92,Kyle Freeland*,32,COL,NL,-0.4,1,9,.100,5.56,15,15,0,0,0,0,77.2,106,60,48,9,18,1,59,2,0,1,349,83,3.84,1.597,12.3,1.0,2.1,6.8,3.28,,freelky01
93,Emerson Hancock,26,SEA,AL,-0.5,3,5,.375,5.47,15,15,0,0,0,0,77.1,81,47,47,15,30,0,53,5,1,2,335,67,5.59,1.435,9.4,1.7,3.5,6.2,1.77,,hancoem01
94,Tyler Mahle,30,TEX,AL,2.2,6,3,.667,2.34,14,14,0,0,0,0,77.0,60,20,20,4,27,0,56,0,1,0,308,163,3.36,1.130,7.0,0.5,3.2,6.5,2.07,,mahlety01
95,Griffin Canning,29,NYM,NL,0.9,7,3,.700,3.77,16,16,0,0,0,0,76.1,70,35,32,8,35,0,70,0,0,3,328,100,3.99,1.376,8.3,0.9,4.1,8.3,2.00,,cannigr01
96,Clarke Schmidt,29,NYY,AL,1.7,4,4,.500,3.09,13,13,0,0,0,0,75.2,52,26,26,8,28,0,72,1,2,2,301,131,3.71,1.057,6.2,1.0,3.3,8.6,2.57,,schmicl01
97,Kodai Senga,32,NYM,NL,2.9,7,3,.700,1.47,13,13,0,0,0,0,73.2,51,15,12,4,31,0,70,1,0,4,293,259,3.19,1.113,6.2,0.5,3.8,8.6,2.26,,sengako01
98,Cal Quantrill,30,MIA,NL,0.2,3,7,.300,5.42,16,16,0,0,0,0,73.0,81,45,44,11,22,0,56,4,0,2,312,80,4.58,1.411,10.0,1.4,2.7,6.9,2.55,,quantca01
99,Nathan Eovaldi,35,TEX,AL,2.6,4,3,.571,1.87,13,13,0,1,1,0,72.1,51,17,15,4,12,1,75,4,0,4,281,204,2.39,0.871,6.3,0.5,1.5,9.3,6.25,,eovalna01
100,Charlie Morton,41,BAL,AL,-0.5,4,7,.364,5.63,18,12,1,0,0,0,72.0,79,47,45,10,34,0,77,6,1,1,330,69,4.42,1.569,9.9,1.3,4.3,9.6,2.26,,mortoch02
101,Eduardo Rodríguez*,32,ARI,NL,-0.2,3,4,.429,5.13,14,14,0,0,0,0,72.0,85,48,41,11,27,1,80,0,1,3,328,81,3.97,1.556,10.6,1.4,3.4,10.0,2.96,,rodried05
102,Ranger Suárez*,29,PHI,NL,3.2,7,2,.778,2.00,11,11,0,0,0,0,72.0,55,17,16,5,17,0,67,1,0,0,282,212,2.88,1.000,6.9,0.6,2.1,8.4,3.94,,suarera01
103,Brayan Bello,26,BOS,AL,0.8,3,3,.500,3.41,13,13,0,0,0,0,71.1,71,32,27,7,32,0,52,4,0,0,312,122,4.42,1.444,9.0,0.9,4.0,6.6,1.63,,bellobr01
104,Edward Cabrera,27,MIA,NL,1.6,3,2,.600,3.41,14,14,0,0,0,0,71.1,61,29,27,8,30,0,75,3,0,3,300,127,3.83,1.276,7.7,1.0,3.8,9.5,2.50,,cabreed02
105,Jack Leiter,25,TEX,AL,0.2,4,5,.444,4.29,14,14,0,0,0,0,71.1,61,34,34,9,32,0,58,2,1,6,304,89,4.53,1.304,7.7,1.1,4.0,7.3,1.81,,leiteja01
106,Tylor Megill,29,NYM,NL,0.1,5,5,.500,3.95,14,14,0,0,0,0,68.1,60,37,30,6,33,0,89,7,0,3,305,96,3.38,1.361,7.9,0.8,4.3,11.7,2.70,,megilty01
107,Bryce Elder,26,ATL,NL,-0.9,2,5,.286,5.82,13,13,0,0,0,0,68.0,76,45,44,14,24,0,57,3,0,1,300,71,5.28,1.471,10.1,1.9,3.2,7.5,2.38,,elderbr01
108,Justin Verlander,42,SFG,NL,-0.1,0,5,.000,4.26,13,13,0,0,0,0,67.2,69,35,32,9,25,0,55,2,0,0,294,91,4.39,1.389,9.2,1.2,3.3,7.3,2.20,,verlaju01
109,Ryne Nelson,27,ARI,NL,1.4,4,2,.667,3.61,18,8,4,0,0,1,67.1,48,28,27,6,21,0,59,3,0,0,270,115,3.56,1.025,6.4,0.8,2.8,7.9,2.81,,nelsory01
110,Walker Buehler,30,BOS,AL,-1.3,5,6,.455,6.45,14,14,0,0,0,0,67.0,74,50,48,15,32,0,59,8,0,0,307,65,6.03,1.582,9.9,2.0,4.3,7.9,1.84,,buehlwa01
111,Jonathan Cannon,24,CHW,AL,0.6,2,7,.222,4.59,13,11,0,0,0,0,66.2,71,35,34,11,24,0,55,4,1,2,295,91,4.84,1.425,9.6,1.5,3.2,7.4,2.29,,cannojo02
112,Chase Dollander,23,COL,NL,-0.4,2,9,.182,6.65,14,14,0,0,0,0,65.0,69,52,48,15,29,0,50,2,0,1,290,69,5.98,1.508,9.6,2.1,4.0,6.9,1.72,,dollach01
113,Max Meyer,26,MIA,NL,0.0,3,5,.375,4.73,12,12,0,0,0,0,64.2,72,39,34,12,20,0,68,2,1,0,285,91,4.41,1.423,10.0,1.7,2.8,9.5,3.40,,meyerma01
114,Cade Povich*,25,BAL,AL,-0.2,2,5,.286,5.15,13,12,0,0,0,0,64.2,74,40,37,10,23,1,68,1,0,5,285,76,4.11,1.500,10.3,1.4,3.2,9.5,2.96,,povicca01
115,Corbin Burnes,30,ARI,NL,2.1,3,2,.600,2.66,11,11,0,0,0,0,64.1,49,23,19,7,26,1,63,3,2,1,265,157,3.89,1.166,6.9,1.0,3.6,8.8,2.42,,burneco01
116,Ryan Gusto,26,HOU,AL,-0.2,5,3,.625,4.90,18,11,1,0,0,0,64.1,73,38,35,10,23,0,71,2,0,0,289,83,4.06,1.492,10.2,1.4,3.2,9.9,3.09,,gustory01
117,Bowden Francis,29,TOR,AL,-0.9,2,8,.200,6.05,14,14,0,0,0,0,64.0,71,46,43,19,27,0,54,6,0,3,288,69,6.80,1.531,10.0,2.7,3.8,7.6,2.00,,francbo01
118,Mitch Spence,27,ATH,AL,0.3,2,3,.400,3.82,27,5,3,0,0,1,63.2,62,35,27,7,21,2,55,4,0,1,274,109,3.96,1.304,8.8,1.0,3.0,7.8,2.62,,spencmi01
119,Stephen Kolek,28,SDP,NL,1.0,3,3,.500,3.73,11,11,0,1,1,0,62.2,57,29,26,5,21,0,47,5,0,0,261,110,3.87,1.245,8.2,0.7,3.0,6.8,2.24,,kolekst01
120,Zach Eflin,31,BAL,AL,-0.3,6,5,.545,5.95,12,12,0,0,0,0,62.0,78,42,41,16,11,0,42,2,0,1,269,65,5.71,1.435,11.3,2.3,1.6,6.1,3.82,,eflinza01
121,Hayden Birdsong,23,SFG,NL,-0.5,3,3,.500,4.30,19,8,2,0,0,0,60.2,57,36,29,9,28,0,62,4,0,4,270,90,4.55,1.401,8.5,1.3,4.2,9.2,2.21,,birdsha01
122,Pablo López,29,MIN,AL,1.7,5,3,.625,2.82,11,11,0,0,0,0,60.2,51,22,19,5,14,0,61,3,2,1,247,150,2.99,1.071,7.6,0.7,2.1,9.0,4.36,,lopezpa01
123,Sean Newcomb*,32,2TM,AL,0.3,2,4,.333,3.43,22,5,7,0,0,0,60.1,73,30,23,4,24,2,56,3,0,2,272,122,3.43,1.608,10.9,0.6,3.6,8.4,2.33,,newcose01
123,Sean Newcomb*,32,BOS,AL,-0.2,0,4,.000,3.95,12,5,5,0,0,0,41.0,55,24,18,3,17,0,41,2,0,2,190,106,3.43,1.756,12.1,0.7,3.7,9.0,2.41,,newcose01
123,Sean Newcomb*,32,ATH,AL,0.4,2,0,1.000,2.33,10,0,2,0,0,0,19.1,18,6,5,1,7,2,15,1,0,0,82,182,3.45,1.293,8.4,0.5,3.3,7.0,2.14,,newcose01
124,Jose Quintana*,36,MIL,NL,0.9,6,2,.750,3.30,11,11,0,0,0,0,60.0,58,26,22,6,27,0,41,1,1,1,258,121,4.42,1.417,8.7,0.9,4.1,6.2,1.52,,quintjo01
125,Hunter Greene,25,CIN,NL,2.2,4,3,.571,2.72,11,11,0,0,0,0,59.2,44,18,18,9,14,0,73,2,0,2,237,165,3.40,0.972,6.6,1.4,2.1,11.0,5.21,,greenhu01
126,Hunter Dobbins,25,BOS,AL,0.4,4,1,.800,4.10,12,10,0,0,0,0,59.1,59,29,27,6,16,1,43,2,0,0,248,102,3.86,1.264,8.9,0.9,2.4,6.5,2.69,,dobbihu01
127,Michael Soroka,27,WSN,NL,0.4,3,5,.375,4.70,11,11,0,0,0,0,59.1,46,31,31,10,15,0,64,9,1,0,243,85,4.33,1.028,7.0,1.5,2.3,9.7,4.27,,sorokmi01
128,Lucas Giolito,30,BOS,AL,0.2,4,1,.800,3.99,11,11,0,0,0,0,58.2,60,30,26,8,18,0,51,0,0,1,246,105,4.04,1.330,9.2,1.2,2.8,7.8,2.83,,giolilu01
129,Simeon Woods Richardson,24,MIN,AL,0.6,3,4,.429,4.63,12,11,0,0,0,0,58.1,59,32,30,8,22,0,52,2,0,3,253,91,4.32,1.389,9.1,1.2,3.4,8.0,2.36,,woodssi01
130,Brad Lord,25,WSN,NL,1.1,2,5,.286,3.28,30,6,2,0,0,0,57.2,53,22,21,5,22,0,50,2,0,0,244,122,3.73,1.301,8.3,0.8,3.4,7.8,2.27,,lordbr02
131,Ben Casparius,26,LAD,NL,0.3,6,2,.750,3.97,25,2,2,0,0,0,56.2,52,25,25,4,12,0,54,0,0,0,233,100,2.73,1.129,8.3,0.6,1.9,8.6,4.50,,caspabe01
132,Keider Montero,24,DET,AL,0.5,3,1,.750,4.02,11,6,0,0,0,0,56.0,58,26,25,11,20,0,39,2,0,2,240,99,5.42,1.393,9.3,1.8,3.2,6.3,1.95,,monteke01
133,Mike Vasil,25,CHW,AL,1.6,3,3,.500,2.73,23,3,8,0,0,2,56.0,42,19,17,5,28,3,40,7,1,0,238,153,4.69,1.250,6.8,0.8,4.5,6.4,1.43,,vasilmi01
134,Michael King,30,SDP,NL,1.4,4,2,.667,2.59,10,10,0,1,1,0,55.2,40,19,16,6,17,0,64,2,0,2,225,159,3.21,1.024,6.5,1.0,2.7,10.3,3.76,,kingmi01
135,Ryan Yarbrough*,33,NYY,AL,0.7,3,1,.750,3.90,16,8,3,0,0,0,55.1,48,24,24,10,17,0,49,2,0,0,226,104,4.69,1.175,7.8,1.6,2.8,8.0,2.88,,yarbrry01
136,Tyler Alexander*,30,2TM,2LG,-0.7,4,8,.333,4.97,28,4,8,0,0,1,54.1,60,37,30,3,19,2,42,1,1,0,237,82,3.36,1.454,9.9,0.5,3.1,7.0,2.21,,alexaty01
136,Tyler Alexander*,30,MIL,NL,-1.3,3,5,.375,6.19,21,4,7,0,0,1,36.1,42,31,25,3,12,0,30,1,1,0,164,65,3.58,1.486,10.4,0.7,3.0,7.4,2.50,,alexaty01
136,Tyler Alexander*,30,CHW,AL,0.6,1,3,.250,2.50,7,0,1,0,0,0,18.0,18,6,5,0,7,2,12,0,0,0,73,169,2.92,1.389,9.0,0.0,3.5,6.0,1.71,,alexaty01
137,Noah Cameron*,25,KCR,AL,1.7,2,4,.333,2.79,9,9,0,0,0,0,51.2,34,16,16,6,18,0,38,0,0,1,204,148,4.17,1.006,5.9,1.0,3.1,6.6,2.11,,camerno01
138,Taijuan Walker,32,PHI,NL,0.4,3,5,.375,3.83,18,8,4,0,0,1,51.2,50,28,22,7,21,0,45,2,0,1,229,111,4.44,1.374,8.7,1.2,3.7,7.8,2.14,,walketa01
139,Carmen Mlodzinski,26,PIT,NL,-0.2,2,5,.286,5.08,14,9,1,0,0,0,51.1,66,31,29,7,16,0,36,2,0,0,233,84,4.51,1.597,11.6,1.2,2.8,6.3,2.25,,mlodzca01
140,Shota Imanaga*,31,CHC,NL,1.3,4,2,.667,2.54,9,9,0,0,0,0,49.2,36,15,14,7,15,0,37,0,0,0,198,150,4.33,1.027,6.5,1.3,2.7,6.7,2.47,,imanash01
141,Aaron Nola,32,PHI,NL,0.0,1,7,.125,6.16,9,9,0,0,0,0,49.2,59,35,34,11,16,0,52,3,0,1,220,69,5.02,1.510,10.7,2.0,2.9,9.4,3.25,,nolaaa01
142,Jordan Hicks,28,2TM,2LG,-0.8,1,5,.167,6.34,14,9,2,0,0,0,49.2,55,36,35,3,20,0,44,4,0,4,220,62,3.55,1.510,10.0,0.5,3.6,8.0,2.20,,hicksjo03
142,Jordan Hicks,28,SFG,NL,-0.9,1,5,.167,6.47,13,9,2,0,0,0,48.2,55,36,35,3,20,0,43,4,0,4,217,60,3.60,1.541,10.2,0.6,3.7,8.0,2.15,,hicksjo03
142,Jordan Hicks,28,BOS,AL,0.0,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0,3,,1.09,0.000,0.0,0.0,0.0,9.0,,,hicksjo03
143,Jackson Jobe,22,DET,AL,0.1,4,1,.800,4.22,10,10,0,0,0,0,49.0,46,24,23,7,27,0,39,2,0,1,218,94,5.13,1.490,8.4,1.3,5.0,7.2,1.44,,jobeja01
144,Spencer Strider,26,ATL,NL,0.5,3,6,.333,3.86,9,9,0,0,0,0,49.0,36,22,21,5,20,0,57,4,0,1,202,107,3.55,1.143,6.6,0.9,3.7,10.5,2.85,,stridsp01
145,Bryce Miller,26,SEA,AL,-0.6,2,5,.286,5.73,10,10,0,0,0,0,48.2,52,31,31,5,23,0,39,3,0,2,216,64,4.42,1.541,9.6,0.9,4.3,7.2,1.70,,millebr04
146,Reese Olson,25,DET,AL,1.1,4,3,.571,2.96,9,9,0,0,0,0,48.2,38,16,16,2,19,1,51,4,0,2,201,134,2.94,1.171,7.0,0.4,3.5,9.4,2.68,,olsonre01
147,Cole Ragans*,27,KCR,AL,-0.2,2,3,.400,5.18,10,10,0,0,0,0,48.2,47,29,28,5,16,0,76,2,0,3,209,80,2.41,1.295,8.7,0.9,3.0,14.1,4.75,,raganco01
148,Osvaldo Bido,29,ATH,AL,-0.7,2,4,.333,6.14,12,9,1,0,0,0,48.1,62,37,33,12,23,0,34,3,0,0,228,68,6.52,1.759,11.5,2.2,4.3,6.3,1.48,,bidoos01
149,Ronel Blanco,31,HOU,AL,0.5,3,4,.429,4.10,9,9,0,0,0,0,48.1,37,22,22,7,20,0,48,0,0,0,199,99,4.22,1.179,6.9,1.3,3.7,8.9,2.40,,blancro01
150,Jake Bird,29,COL,NL,1.9,2,1,.667,2.63,37,0,4,0,0,0,48.0,40,15,14,2,19,2,58,2,0,4,199,176,2.52,1.229,7.5,0.4,3.6,10.9,3.05,,birdja01
151,Jacob Lopez*,27,ATH,AL,0.5,2,4,.333,3.88,12,8,1,0,0,0,46.1,44,24,20,7,18,0,56,7,1,0,206,108,4.25,1.338,8.5,1.4,3.5,10.9,3.11,,lopezja04
152,Logan Gilbert,28,SEA,AL,0.6,2,2,.500,3.55,9,9,0,0,0,0,45.2,34,18,18,8,8,0,67,2,0,3,181,104,3.09,0.920,6.7,1.6,1.6,13.2,8.38,,gilbelo01
153,Colton Gordon*,26,HOU,AL,0.2,3,1,.750,4.37,9,9,0,0,0,0,45.1,57,23,22,9,7,2,41,1,1,2,198,93,4.39,1.412,11.3,1.8,1.4,8.1,5.86,,gordoco01
154,Steven Matz*,34,STL,NL,0.4,4,2,.667,3.38,24,2,2,0,0,1,45.1,44,20,17,3,6,0,40,1,0,2,186,124,2.64,1.103,8.7,0.6,1.2,7.9,6.67,,matzst01
155,Bryse Wilson,27,CHW,AL,-0.9,0,2,.000,6.95,19,5,7,0,0,0,45.1,67,37,35,11,19,0,27,2,0,0,218,60,6.44,1.897,13.3,2.2,3.8,5.4,1.42,,wilsobr02
156,Cade Horton,23,CHC,NL,-0.8,3,2,.600,4.80,9,8,0,0,0,0,45.0,51,29,24,6,14,0,33,4,0,1,200,79,4.55,1.444,10.2,1.2,2.8,6.6,2.36,,hortoca01
157,Eric Lauer*,30,TOR,AL,1.3,4,1,.800,2.60,12,6,1,0,0,0,45.0,34,13,13,6,14,0,45,2,0,0,181,161,3.89,1.067,6.8,1.2,2.8,9.0,3.21,,lauerer01
158,Kyle Leahy,28,STL,NL,0.9,2,1,.667,2.82,34,0,3,0,0,0,44.2,36,14,14,4,15,1,34,1,0,1,181,148,3.80,1.142,7.3,0.8,3.0,6.9,2.27,,leahyky01
159,Ben Lively,33,CLE,AL,0.8,2,2,.500,3.22,9,9,0,0,0,0,44.2,38,16,16,6,15,0,29,0,0,0,178,128,4.54,1.187,7.7,1.2,3.0,5.8,1.93,,livelbe01
160,Eduard Bazardo,29,SEA,AL,0.8,3,0,1.000,2.84,38,0,14,0,0,0,44.1,30,14,14,5,18,1,37,1,0,0,177,130,4.17,1.083,6.1,1.0,3.7,7.5,2.06,,bazared01
161,Jose A. Ferrer*,25,WSN,NL,-0.7,2,3,.400,5.28,41,0,2,0,0,0,44.1,45,28,26,3,10,0,36,5,0,3,186,76,3.36,1.241,9.1,0.6,2.0,7.3,3.60,,ferrejo01
162,AJ Smith-Shawver,22,ATL,NL,0.1,3,2,.600,3.86,9,9,0,0,0,0,44.1,42,20,19,4,21,0,42,1,0,3,192,107,3.85,1.421,8.5,0.8,4.3,8.5,2.00,,smithaj01
163,Jimmy Herget,31,COL,NL,1.3,0,1,.000,2.86,29,0,3,0,0,0,44.0,41,15,14,4,14,0,34,3,2,1,185,161,3.88,1.250,8.4,0.8,2.9,7.0,2.43,,hergeji01
164,Valente Bellozo,25,MIA,NL,0.7,1,3,.250,3.71,14,5,5,0,0,0,43.2,40,19,18,4,14,0,33,3,1,0,183,117,3.93,1.237,8.2,0.8,2.9,6.8,2.36,,bellova01
165,José Buttó,27,NYM,NL,0.9,2,1,.667,2.47,31,0,7,0,0,1,43.2,35,14,12,2,20,1,39,1,1,2,179,154,3.34,1.260,7.2,0.4,4.1,8.0,1.95,,buttojo01
166,Tanner Houck,29,BOS,AL,-1.5,0,3,.000,8.04,9,9,0,0,0,0,43.2,57,41,39,10,17,0,32,5,0,2,203,52,6.11,1.695,11.7,2.1,3.5,6.6,1.88,,houckta01
167,Jason Adam,33,SDP,NL,1.4,6,3,.667,1.69,42,0,3,0,0,0,42.2,33,12,8,2,18,1,50,2,0,3,179,245,2.76,1.195,7.0,0.4,3.8,10.5,2.78,,adamja01
168,Jack Dreyer*,26,LAD,NL,0.5,2,2,.500,3.16,33,5,4,0,0,0,42.2,32,16,15,1,16,1,42,0,0,1,174,125,2.55,1.125,6.8,0.2,3.4,8.9,2.63,,dreyeja01
169,Adrian Houser,32,CHW,AL,2.1,3,2,.600,1.90,7,7,0,0,0,0,42.2,36,9,9,2,14,0,31,0,1,1,171,220,3.23,1.172,7.6,0.4,3.0,6.5,2.21,,housead01
170,George Kirby,27,SEA,AL,-0.1,2,4,.333,4.85,8,8,0,0,0,0,42.2,41,23,23,7,9,0,41,2,0,1,175,76,4.07,1.172,8.6,1.5,1.9,8.6,4.56,,kirbyge01
171,Hoby Milner*,34,TEX,AL,0.4,1,2,.333,2.53,39,0,4,0,0,0,42.2,32,16,12,0,12,2,37,0,0,0,170,151,2.19,1.031,6.8,0.0,2.5,7.8,3.08,,milneho01
172,Brent Suter*,35,CIN,NL,0.8,1,0,1.000,2.95,28,3,10,0,0,0,42.2,36,15,14,4,10,0,28,1,0,1,173,152,3.76,1.078,7.6,0.8,2.1,5.9,2.80,,suterbr01
173,Huascar Brazobán,35,NYM,NL,0.1,3,2,.600,3.83,34,2,5,0,0,1,42.1,28,21,18,4,21,1,40,4,0,1,172,99,4.20,1.157,6.0,0.9,4.5,8.5,1.90,,brazohu01
174,Scott Blewett,29,3TM,2LG,0.0,3,0,1.000,4.68,24,2,9,0,0,0,42.1,40,24,22,8,16,0,34,1,0,1,181,88,5.14,1.323,8.5,1.7,3.4,7.2,2.13,,blewesc01
174,Scott Blewett,29,2TM,AL,0.1,1,0,1.000,4.15,13,1,3,0,0,0,26.0,24,13,12,3,6,0,21,1,0,1,109,97,3.78,1.154,8.3,1.0,2.1,7.3,3.50,,blewesc01
174,Scott Blewett,29,MIN,AL,0.1,0,0,,1.93,2,0,2,0,0,0,4.2,4,1,1,0,0,0,5,1,0,0,19,234,1.59,0.857,7.7,0.0,0.0,9.6,,,blewesc01
174,Scott Blewett,29,BAL,AL,-0.1,1,0,1.000,4.64,11,1,1,0,0,0,21.1,20,12,11,3,6,0,16,0,0,1,90,85,4.26,1.219,8.4,1.3,2.5,6.8,2.67,,blewesc01
174,Scott Blewett,29,ATL,NL,-0.1,2,0,1.000,5.51,11,1,6,0,0,0,16.1,16,11,10,5,10,0,13,0,0,0,72,76,7.31,1.592,8.8,2.8,5.5,7.2,1.30,,blewesc01
175,Slade Cecconi,26,CLE,AL,0.7,3,3,.500,3.64,8,8,0,0,0,0,42.0,41,17,17,7,14,1,42,2,0,0,179,114,4.39,1.310,8.8,1.5,3.0,9.0,3.00,,ceccosl01
176,Jacob Latz*,29,TEX,AL,0.9,1,0,1.000,2.81,19,2,5,0,0,1,41.2,30,13,13,4,17,1,41,0,0,2,167,136,3.59,1.128,6.5,0.9,3.7,8.9,2.41,,latzja01
177,Yariel Rodríguez,28,TOR,AL,1.0,2,0,1.000,2.81,34,1,7,0,0,1,41.2,24,13,13,6,13,1,38,3,1,1,157,149,4.29,0.888,5.2,1.3,2.8,8.2,2.92,,rodriya01
178,Grant Anderson,28,MIL,NL,0.3,1,3,.250,3.05,36,0,11,0,0,0,41.1,31,18,14,5,18,1,45,0,0,0,174,132,3.79,1.185,6.8,1.1,3.9,9.8,2.50,,andergr01
179,Ronny Henriquez,25,MIA,NL,0.9,4,1,.800,2.85,38,0,6,0,0,4,41.0,34,16,13,7,16,2,57,3,2,1,175,152,3.91,1.220,7.5,1.5,3.5,12.5,3.56,,henriro01
180,Carlos Vargas,25,SEA,AL,0.4,2,5,.286,3.07,38,0,5,0,0,1,41.0,40,18,14,5,17,4,30,1,0,1,176,120,4.52,1.390,8.8,1.1,3.7,6.6,1.76,,vargaca01
181,Garrett Whitlock,29,BOS,AL,0.6,5,1,.833,3.51,30,0,5,0,0,1,41.0,31,17,16,2,19,1,50,3,0,3,172,119,2.89,1.220,6.8,0.4,4.2,11.0,2.63,,whitlga01
182,Spencer Bivens,31,SFG,NL,0.5,2,2,.500,3.32,26,0,9,0,0,0,40.2,34,17,15,3,13,0,31,3,0,1,168,117,3.70,1.156,7.5,0.7,2.9,6.9,2.38,,bivensp01
183,Tyler Phillips,27,MIA,NL,0.3,1,0,1.000,4.24,29,0,12,0,0,0,40.1,44,21,19,6,11,0,23,1,0,3,170,102,4.77,1.364,9.8,1.3,2.5,5.1,2.09,,phillty01
184,Tyler Rogers,34,SFG,NL,1.3,3,2,.600,1.79,42,0,7,0,0,0,40.1,27,8,8,3,4,0,33,0,0,0,147,218,2.71,0.769,6.0,0.7,0.9,7.4,8.25,,rogerty01
185,Lake Bachar,30,MIA,NL,0.8,4,0,1.000,3.38,28,0,5,0,0,0,40.0,26,16,15,3,21,3,42,3,0,0,164,129,3.76,1.175,5.9,0.7,4.7,9.5,2.00,,bachala01
186,Logan Evans,24,SEA,AL,0.1,3,2,.600,3.38,7,7,0,0,0,0,40.0,41,20,15,7,12,0,30,0,0,2,167,110,4.76,1.325,9.2,1.6,2.7,6.8,2.50,,evanslo01
187,Brenan Hanifee,27,DET,AL,-0.6,3,2,.600,3.60,35,0,6,0,0,0,40.0,46,24,16,2,10,1,27,1,0,0,174,111,3.21,1.400,10.4,0.5,2.3,6.1,2.70,,hanifbr01
188,Abner Uribe,25,MIL,NL,0.9,2,1,.667,2.25,40,0,3,0,0,1,40.0,31,12,10,3,16,2,53,4,1,4,164,178,2.91,1.175,7.0,0.7,3.6,11.9,3.31,,uribeab01
189,Bryan Abreu,28,HOU,AL,1.8,3,3,.500,1.59,39,0,6,0,0,0,39.2,24,7,7,2,19,0,60,1,0,2,162,256,2.23,1.084,5.4,0.5,4.3,13.6,3.16,,abreubr01
190,Daniel Lynch IV*,28,KCR,AL,1.0,3,2,.600,2.72,37,2,6,0,0,1,39.2,37,13,12,5,19,1,28,3,0,1,170,152,4.98,1.412,8.4,1.1,4.3,6.4,1.47,,lynchda02
191,Kumar Rocker,25,TEX,AL,-0.8,3,4,.429,6.13,9,9,0,0,0,0,39.2,49,28,27,5,12,0,37,4,0,5,181,62,4.07,1.538,11.1,1.1,2.7,8.4,3.08,,rockeku01
192,Brant Hurter*,26,DET,AL,0.0,2,3,.400,2.75,25,4,4,0,0,2,39.1,35,19,12,3,16,3,39,7,0,1,171,145,3.85,1.297,8.0,0.7,3.7,8.9,2.44,,hurtebr01
193,Tanner Scott*,30,LAD,NL,0.4,1,2,.333,3.46,40,0,21,0,0,18,39.0,34,18,15,5,6,0,42,0,0,1,149,115,3.06,1.026,7.8,1.2,1.4,9.7,7.00,,scottta01
194,Jacob Webb,31,TEX,AL,-0.1,4,3,.571,3.92,34,0,6,0,0,1,39.0,33,17,17,5,13,1,30,1,0,0,163,98,4.29,1.179,7.6,1.2,3.0,6.9,2.31,,webbja01
195,Josh Hader*,31,HOU,AL,1.8,5,1,.833,1.86,37,0,34,0,0,24,38.2,21,9,8,6,7,0,59,2,0,2,147,218,2.75,0.724,4.9,1.4,1.6,13.7,8.43,,haderjo01
196,Brad Keller,29,CHC,NL,0.7,3,0,1.000,1.86,36,1,4,0,0,0,38.2,27,10,8,0,13,0,37,4,0,1,155,205,2.49,1.034,6.3,0.0,3.0,8.6,2.85,,kellebr01
197,Clayton Kershaw*,37,LAD,NL,0.6,4,0,1.000,3.03,8,8,0,0,0,0,38.2,33,15,13,5,13,0,29,0,0,2,156,131,4.27,1.190,7.7,1.2,3.0,6.8,2.23,,kershcl01
198,Landon Knack,27,LAD,NL,-0.3,3,2,.600,5.12,9,7,0,0,0,0,38.2,39,24,22,10,18,0,35,2,0,1,172,78,6.19,1.474,9.1,2.3,4.2,8.1,1.94,,knackla01
199,Brendon Little*,28,TOR,AL,0.7,4,1,.800,2.11,39,0,2,0,0,0,38.1,25,14,9,1,22,1,54,1,1,3,159,198,2.41,1.226,5.9,0.2,5.2,12.7,2.45,,littlbr02
200,Keegan Akin*,30,BAL,AL,0.5,3,0,1.000,3.32,39,3,3,0,0,0,38.0,36,16,14,5,18,0,38,1,0,2,163,118,4.30,1.421,8.5,1.2,4.3,9.0,2.11,,akinke01
201,Jalen Beeks*,31,ARI,NL,0.1,2,1,.667,4.74,39,0,5,0,0,1,38.0,31,22,20,4,15,2,36,1,0,0,160,88,3.82,1.211,7.3,0.9,3.6,8.5,2.40,,beeksja02
202,Caleb Ferguson*,28,PIT,NL,1.2,2,0,1.000,2.61,38,0,2,0,0,0,38.0,25,11,11,0,13,2,30,4,0,0,150,164,2.85,1.000,5.9,0.0,3.1,7.1,2.31,,ferguca01
203,Dylan Lee*,30,ATL,NL,0.9,1,3,.250,2.37,39,0,6,0,0,2,38.0,25,12,10,5,10,1,40,0,3,1,145,175,3.48,0.921,5.9,1.2,2.4,9.5,4.00,,leedy01
